iteration,particle_id,process_index,parameters,revenue,co2_emission,score,pbest_position,pbest_score,particle_results
11,1,0,"[0, 158, 0.5]",0.092217485,0.3468,0.1272912575,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4565, 'electricity': -64.8349, 'CO2_emission': 23.123, 'char_HHV': np.float64(8.931), 'char_kg_per_kg_wet': 0.2318}, 'products': {'char': np.float64(2.071), 'electricity': -0.9725}, 'emissions': {'CO2_emission': 0.3468}}"
11,2,0,"[0, 158, 0.5]",0.09222605499999999,0.3468,0.1272869725,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4193, 'electricity': -64.8508, 'CO2_emission': 23.1194, 'char_HHV': np.float64(8.937), 'char_kg_per_kg_wet': 0.2313}, 'products': {'char': np.float64(2.067), 'electricity': -0.9728}, 'emissions': {'CO2_emission': 0.3468}}"
11,3,0,"[0, 158, 0.5]",0.092217485,0.3468,0.1272912575,"[0, 159, 0.5]",0.1272869725,"{'raw': {'char': 15.4565, 'electricity': -64.8349, 'CO2_emission': 23.123, 'char_HHV': np.float64(8.931), 'char_kg_per_kg_wet': 0.2318}, 'products': {'char': np.float64(2.071), 'electricity': -0.9725}, 'emissions': {'CO2_emission': 0.3468}}"
11,4,0,"[0, 158, 0.5]",0.053318254999999995,0.3544,0.1505408725,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 14.9644, 'electricity': -34.7766, 'CO2_emission': 23.6287, 'char_HHV': np.float64(8.96), 'char_kg_per_kg_wet': 0.2245}, 'products': {'char': np.float64(2.011), 'electricity': -0.5216}, 'emissions': {'CO2_emission': 0.3544}}"
12,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
12,1,0,"[0, 158, 0.5]",0.092217485,0.3468,0.1272912575,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4565, 'electricity': -64.8349, 'CO2_emission': 23.123, 'char_HHV': np.float64(8.931), 'char_kg_per_kg_wet': 0.2318}, 'products': {'char': np.float64(2.071), 'electricity': -0.9725}, 'emissions': {'CO2_emission': 0.3468}}"
12,2,0,"[0, 158, 0.5]",0.092217485,0.3467,0.1272412575,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4379, 'electricity': -64.8381, 'CO2_emission': 23.1157, 'char_HHV': np.float64(8.934), 'char_kg_per_kg_wet': 0.2316}, 'products': {'char': np.float64(2.069), 'electricity': -0.9726}, 'emissions': {'CO2_emission': 0.3467}}"
12,3,0,"[0, 158, 0.5]",0.09222177000000001,0.347,0.127389115,"[0, 159, 0.5]",0.1272869725,"{'raw': {'char': 15.4751, 'electricity': -64.8318, 'CO2_emission': 23.1305, 'char_HHV': np.float64(8.928), 'char_kg_per_kg_wet': 0.2321}, 'products': {'char': np.float64(2.072), 'electricity': -0.9725}, 'emissions': {'CO2_emission': 0.347}}"
12,4,0,"[0, 158, 0.5]",0.05291118,0.3542,0.15064441,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 15.0562, 'electricity': -34.4266, 'CO2_emission': 23.6103, 'char_HHV': np.float64(8.946), 'char_kg_per_kg_wet': 0.2258}, 'products': {'char': np.float64(2.02), 'electricity': -0.5164}, 'emissions': {'CO2_emission': 0.3542}}"
13,0,1,[1],0.00186826,10.0,4.99906587,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 1000.0}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 10.0}}"
13,1,0,"[0, 158, 0.5]",0.092217485,0.3467,0.1272412575,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4379, 'electricity': -64.8381, 'CO2_emission': 23.1157, 'char_HHV': np.float64(8.934), 'char_kg_per_kg_wet': 0.2316}, 'products': {'char': np.float64(2.069), 'electricity': -0.9726}, 'emissions': {'CO2_emission': 0.3467}}"
13,2,0,"[0, 158, 0.5]",0.092217485,0.3467,0.1272412575,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4379, 'electricity': -64.8381, 'CO2_emission': 23.1157, 'char_HHV': np.float64(8.934), 'char_kg_per_kg_wet': 0.2316}, 'products': {'char': np.float64(2.069), 'electricity': -0.9726}, 'emissions': {'CO2_emission': 0.3467}}"
13,3,0,"[0, 158, 0.5]",0.09223462499999999,0.3469,0.12733268749999999,"[0, 159, 0.5]",0.1272869725,"{'raw': {'char': 15.4007, 'electricity': -64.864, 'CO2_emission': 23.1242, 'char_HHV': np.float64(8.94), 'char_kg_per_kg_wet': 0.231}, 'products': {'char': np.float64(2.065), 'electricity': -0.973}, 'emissions': {'CO2_emission': 0.3469}}"
13,4,0,"[0, 158, 0.5]",0.052564095,0.3541,0.15076795250000002,"[0, 165, 0.48]",0.134083485,"{'raw': {'char': 15.1474, 'electricity': -34.1299, 'CO2_emission': 23.6041, 'char_HHV': np.float64(8.931), 'char_kg_per_kg_wet': 0.2272}, 'products': {'char': np.float64(2.029), 'electricity': -0.5119}, 'emissions': {'CO2_emission': 0.3541}}"
14,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
14,1,0,"[0, 158, 0.5]",0.09222605499999999,0.3468,0.1272869725,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4193, 'electricity': -64.8508, 'CO2_emission': 23.1194, 'char_HHV': np.float64(8.937), 'char_kg_per_kg_wet': 0.2313}, 'products': {'char': np.float64(2.067), 'electricity': -0.9728}, 'emissions': {'CO2_emission': 0.3468}}"
14,2,0,"[0, 158, 0.5]",0.092217485,0.3467,0.1272412575,"[0, 158, 0.5]",0.1272412575,"{'raw': {'char': 15.4379, 'electricity': -64.8381, 'CO2_emission': 23.1157, 'char_HHV': np.float64(8.934), 'char_kg_per_kg_wet': 0.2316}, 'products': {'char': np.float64(2.069), 'electricity': -0.9726}, 'emissions': {'CO2_emission': 0.3467}}"
